,Artist,Title,Year,Writers,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
296,David Bowie,Young Americans,1975,David Bowie,7uPmQttafLiJyju14JREY4,63,0.614,0.763,4,-8.949,0,0.133,0.171,0.0,0.119,0.885,84.236,audio_features,7uPmQttafLiJyju14JREY4,spotify:track:7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/tracks/7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/audio-analysis/7uPmQttafLiJyju14JREY4,313707,4
297,Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1970,"Stevie Wonder, Lee Garrett, Syreeta Wright, Lula May Hardaway",2eF8pWbiivYsYRpbntYsnc,77,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,audio_features,2eF8pWbiivYsYRpbntYsnc,spotify:track:2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc,161160,4
298,Elton John,Your Song,1970,"Elton John, Bernie Taupin",38zsOOcu31XbbYj9BIPUF1,80,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,audio_features,38zsOOcu31XbbYj9BIPUF1,spotify:track:38zsOOcu31XbbYj9BIPUF1,https://api.spotify.com/v1/tracks/38zsOOcu31XbbYj9BIPUF1,https://api.spotify.com/v1/audio-analysis/38zsOOcu31XbbYj9BIPUF1,241787,4
299,Johnny Cash,Ring of Fire,1963,"June Carter, Merle Kilgore",6YffUZJ2R06kyxyK6onezL,72,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,audio_features,6YffUZJ2R06kyxyK6onezL,spotify:track:6YffUZJ2R06kyxyK6onezL,https://api.spotify.com/v1/tracks/6YffUZJ2R06kyxyK6onezL,https://api.spotify.com/v1/audio-analysis/6YffUZJ2R06kyxyK6onezL,158427,4
300,David Bowie,Changes,1971,David Bowie,0LrwgdLsFaWh9VXIjBRe8t,71,0.547,0.308,0,-11.75,1,0.0377,0.505,0.0,0.109,0.41,114.719,audio_features,0LrwgdLsFaWh9VXIjBRe8t,spotify:track:0LrwgdLsFaWh9VXIjBRe8t,https://api.spotify.com/v1/tracks/0LrwgdLsFaWh9VXIjBRe8t,https://api.spotify.com/v1/audio-analysis/0LrwgdLsFaWh9VXIjBRe8t,217747,4
301,Aerosmith,Dream On,1973,Steven Tyler,5MxNLUsfh7uzROypsoO5qe,81,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,audio_features,5MxNLUsfh7uzROypsoO5qe,spotify:track:5MxNLUsfh7uzROypsoO5qe,https://api.spotify.com/v1/tracks/5MxNLUsfh7uzROypsoO5qe,https://api.spotify.com/v1/audio-analysis/5MxNLUsfh7uzROypsoO5qe,266960,4
302,Marvin Gaye,Sexual Healing,1982,"Marvin Gaye, Odell Brown",3VZmChrnVW8JK6ano4gSED,73,0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,audio_features,3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/tracks/3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/audio-analysis/3VZmChrnVW8JK6ano4gSED,238600,4
303,Ann Peebles,I Can't Stand the Rain,1973,"Ann Peebles, Don Bryant, Bernard Miller",0CcL4kSHKIEwF3IW0BGgb6,64,0.727,0.387,1,-12.333,1,0.0412,0.248,0.0102,0.0625,0.966,160.395,audio_features,0CcL4kSHKIEwF3IW0BGgb6,spotify:track:0CcL4kSHKIEwF3IW0BGgb6,https://api.spotify.com/v1/tracks/0CcL4kSHKIEwF3IW0BGgb6,https://api.spotify.com/v1/audio-analysis/0CcL4kSHKIEwF3IW0BGgb6,150400,4
304,James Brown,Get Up (I Feel Like Being A) Sex Machine,1970,"Bobby Byrd, James Brown, Ron Lenhoff",2ivdsb1RcEJjIs5tuHkUC9,53,0.838,0.616,10,-8.351,0,0.0711,0.18,7.17e-06,0.193,0.848,107.695,audio_features,2ivdsb1RcEJjIs5tuHkUC9,spotify:track:2ivdsb1RcEJjIs5tuHkUC9,https://api.spotify.com/v1/tracks/2ivdsb1RcEJjIs5tuHkUC9,https://api.spotify.com/v1/audio-analysis/2ivdsb1RcEJjIs5tuHkUC9,316333,4
305,Patsy Cline,Crazy,1961,Willie Nelson,3zpj9dvJABiyMrmLCPw6i8,69,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,audio_features,3zpj9dvJABiyMrmLCPw6i8,spotify:track:3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/tracks/3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/audio-analysis/3zpj9dvJABiyMrmLCPw6i8,164573,3
